Movie Name,Year,Director,Link,Rating
Lawrence of Arabia,1962,David Lean ,imdb.com/title/tt0056172/,8.2
Toy Story 3,2010,Lee Unkrich ,imdb.com/title/tt0435761/,8.2
The Sting,1973,George Roy Hill ,imdb.com/title/tt0070735/,8.2
Ikiru,1952,Akira Kurosawa ,imdb.com/title/tt0044741/,8.2
Metropolis,1927,Fritz Lang ,imdb.com/title/tt0017136/,8.2
Jodaeiye Nader az Simin,2011,Asghar Farhadi ,imdb.com/title/tt1832382/,8.2
Per qualche dollaro in più,1965,Sergio Leone ,imdb.com/title/tt0059578/,8.2
Double Indemnity,1944,Billy Wilder ,imdb.com/title/tt0036775/,8.2
The Apartment,1960,Billy Wilder ,imdb.com/title/tt0053604/,8.2
Incendies,2010,Denis Villeneuve ,imdb.com/title/tt1255953/,8.2
To Kill a Mockingbird,1962,Robert Mulligan ,imdb.com/title/tt0056592/,8.2
Indiana Jones and the Last Crusade,1989,Steven Spielberg ,imdb.com/title/tt0097576/,8.2
Up,2009,Pete Docter ,imdb.com/title/tt1049413/,8.2
L.A. Confidential,1997,Curtis Hanson ,imdb.com/title/tt0119488/,8.2
Heat,1995,Michael Mann ,imdb.com/title/tt0113277/,8.2
Monty Python and the Holy Grail,1975,Terry Gilliam ,imdb.com/title/tt0071853/,8.2
Die Hard,1988,John McTiernan ,imdb.com/title/tt0095016/,8.2
Idi i smotri,1985,Elem Klimov ,imdb.com/title/tt0091251/,8.2
Rashômon,1950,Akira Kurosawa ,imdb.com/title/tt0042876/,8.2
Yôjinbô,1961,Akira Kurosawa ,imdb.com/title/tt0055630/,8.2
Batman Begins,2005,Christopher Nolan ,imdb.com/title/tt0372784/,8.2
Green Book,2018,Peter Farrelly ,imdb.com/title/tt6966692/,8.2
Der Untergang,2004,Oliver Hirschbiegel ,imdb.com/title/tt0363163/,8.2
Bacheha-Ye aseman,1997,Majid Majidi ,imdb.com/title/tt0118849/,8.2
Unforgiven,1992,Clint Eastwood ,imdb.com/title/tt0105695/,8.2
Some Like It Hot,1959,Billy Wilder ,imdb.com/title/tt0053291/,8.2
Ran,1985,Akira Kurosawa ,imdb.com/title/tt0089881/,8.2
Hauru no ugoku shiro,2004,Hayao Miyazaki ,imdb.com/title/tt0347149/,8.2
The Great Escape,1963,John Sturges ,imdb.com/title/tt0057115/,8.2
A Beautiful Mind,2001,Ron Howard ,imdb.com/title/tt0268978/,8.2
All About Eve,1950,Joseph L. Mankiewicz ,imdb.com/title/tt0042192/,8.2
Casino,1995,Martin Scorsese ,imdb.com/title/tt0112641/,8.2
Pan's Labyrinth,2006,Guillermo del Toro ,imdb.com/title/tt0457430/,8.2
The Wolf of Wall Street,2013,Martin Scorsese ,imdb.com/title/tt0993846/,8.2
El secreto de sus ojos,2009,Juan José Campanella ,imdb.com/title/tt1305806/,8.2
Tonari no Totoro,1988,Hayao Miyazaki ,imdb.com/title/tt0096283/,8.2
"Lock, Stock and Two Smoking Barrels",1998,Guy Ritchie ,imdb.com/title/tt0120735/,8.2
Raging Bull,1980,Martin Scorsese ,imdb.com/title/tt0081398/,8.1
There Will Be Blood,2007,Paul Thomas Anderson ,imdb.com/title/tt0469494/,8.1
The Treasure of the Sierra Madre,1948,John Huston ,imdb.com/title/tt0040897/,8.1
Judgment at Nuremberg,1961,Stanley Kramer ,imdb.com/title/tt0055031/,8.1
